species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
aurantipunctata,m,Luzon,48.8,18.8,8.2,5.7,5.4,5.7,3.7,18.2,11,25.8,27.9,16,26.7,20.1,1.9,3.8,
aurantipunctata,m,Luzon,52.7,19,9,6.9,5.1,5.4,3.9,18.5,10.4,26.7,28.6,16.3,27.3,20.1,1.7,3.7,
aurantipunctata,m,Luzon,51.4,18,8.5,6.1,5.4,4.3,3.6,17,11.2,27.5,27.7,16.3,26.3,19.9,1.9,3.9,
aurantipunctata,m,Luzon,49.1,18,7.3,5.8,5.1,5.9,4.4,16.4,10.5,25,27.2,16.1,25.3,18.7,1.7,3.6,
aurantipunctata,m,Luzon,48.4,18.8,8.4,5.7,5.2,5.4,4.2,17.6,11.5,25.9,26.3,15,25.2,18.9,1.7,3.9,
aurantipunctata,f,Luzon,66.9,23.5,11.3,7.3,6.7,6.2,4.1,23.3,14.2,35.2,36.2,20.8,37.5,26.7,2.6,5.1,
aurantipunctata,f,Luzon,69.1,28.5,10.8,8.3,6.9,6.7,3.7,23.3,15.3,36.5,38.3,21.9,37.3,26.6,2.7,5.3,
aurantipunctata,f,Luzon,60.9,21.5,9.5,6.2,6.1,6.4,3.7,22.2,13.6,34.1,35.5,20.6,34.4,23.9,2.5,5.1,
aurantipunctata,f,Luzon,64.2,24.2,11.4,8.6,6.8,7,4.2,24.6,14.1,35.4,38.1,21.4,34.4,24.8,2.8,4.4,
aurantipunctata,f,Luzon,67.8,25.2,11.5,8.5,7.1,7.1,4.2,24.2,13.7,36.5,38.8,22,35.4,23.4,2.9,4.8,
aurantipunctata,f,Luzon,86.3,31.3,15,10.2,7.3,8,6.1,29.4,18.8,47.6,52.5,30.1,48.6,32.8,3,4.7,
aurantipunctata,f,Luzon,62.2,21.6,9.5,7.6,6.2,6.3,4,21.9,13.4,31.9,33.6,20.5,33.8,24.2,2.2,5,
aurantipunctata,f,Luzon,63.5,22.1,10,8,6.1,5.9,3.6,22.4,14.4,32.9,34.6,19.1,34.2,24.4,2.1,4.5,
aurantipunctata,f,Luzon,62.5,21.2,9.9,7.5,6.5,5.6,3.8,22.1,14.5,34.2,35.6,20,35.5,24.7,2.4,4.5,
